userid,Record Type,Question ID,Question Selected,Question Time Spent
1,Classification,10,option_B,21.36
1,Classification,100,option_B,34.796
1,Classification,11,option_D,108.15
1,Classification,111,option_D,43.502
1,Classification,114,option_D,44.087
1,Classification,120,option_D,16.253
1,Classification,124,option_D,19.945
1,Classification,130,option_D,16.233
1,Classification,136,option_B,40.884
1,Classification,137,option_D,21.044
1,Classification,19,option_D,15.177
1,Classification,2,option_D,28.696
1,Classification,32,option_D,20.27
1,Classification,34,option_D,21.301
1,Classification,38,option_D,25.853
1,Classification,43,option_D,104.166
1,Classification,46,option_D,15.096
1,Classification,51,option_D,19.758
1,Classification,53,option_D,13.012
1,Classification,56,option_D,15.751
1,Classification,62,option_B,31.414
1,Classification,76,option_C,23.453
1,Classification,79,option_D,71.209
1,Classification,83,option_D,16.008
1,Classification,89,option_D,18.439
1,Classification,9,option_B,65.183
1,Classification,90,option_D,22.317
1,Classification,92,option_D,19.751
2,Classification,10,option_C,28.11
2,Classification,100,option_D,59.754
2,Classification,11,option_C,43.07
2,Classification,111,option_D,30.648
2,Classification,114,option_E,35.966
2,Classification,120,option_D,30.628
2,Classification,124,option_C,37.879
2,Classification,130,option_D,50.695
2,Classification,136,option_D,51.877
2,Classification,137,option_D,66.376
2,Classification,19,option_D,15.964
2,Classification,2,option_E,67.044
2,Classification,32,option_C,83.468
2,Classification,34,option_D,48.681
2,Classification,38,option_C,52.816
2,Classification,43,option_B,54.35
2,Classification,46,option_C,30.497
2,Classification,51,option_C,28.371
2,Classification,53,option_C,30.244
2,Classification,56,option_A,54.313
2,Classification,62,option_E,46.237
2,Classification,76,option_D,45.324
2,Classification,79,option_D,31.645
2,Classification,83,option_C,50.387
2,Classification,89,option_D,30.939
2,Classification,9,option_C,31.484
2,Classification,90,option_E,26.621
2,Classification,92,option_B,84.659
3,Classification,10,option_D,51.994
3,Classification,110,option_B,34.111
3,Classification,111,option_C,55.173
3,Classification,114,option_C,51.147
3,Classification,121,option_C,47.472
3,Classification,136,option_D,28.579
3,Classification,143,option_B,33.646
3,Classification,2,option_D,220.224
3,Classification,27,option_C,38.469
3,Classification,31,option_C,87.679
3,Classification,32,option_C,69.759
3,Classification,33,option_B,32.107
3,Classification,34,option_D,80.388
3,Classification,36,option_C,43.397
3,Classification,38,option_E,69.483
3,Classification,39,option_D,95.58
3,Classification,43,option_C,42.416
3,Classification,53,option_C,39.593
3,Classification,62,option_D,62.728
3,Classification,76,option_C,100.477
3,Classification,77,option_D,39.71
3,Classification,79,option_A,63.479
3,Classification,83,option_C,55.077
3,Classification,89,option_C,63.092
3,Classification,9,option_D,41.055
3,Classification,90,option_D,48.635
3,Classification,92,option_D,140.368
3,Classification,95,option_D,48.816
4,Classification,10,option_D,17.445
4,Classification,111,option_A,26.203
4,Classification,114,option_C,11.693
4,Classification,119,option_A,16.15
4,Classification,136,option_D,15.533
4,Classification,148,option_D,11.042
4,Classification,16,option_D,17.199
4,Classification,2,option_D,11.062
4,Classification,28,option_E,19.589
4,Classification,32,option_A,19.996
4,Classification,34,option_D,17.289
4,Classification,38,option_E,25.085
4,Classification,4,option_D,19.986
4,Classification,43,option_D,21.408
4,Classification,53,option_C,17.603
4,Classification,55,option_A,10.689
4,Classification,62,option_D,15.808
4,Classification,73,option_D,20.417
4,Classification,76,option_D,11.222
4,Classification,79,option_A,31.078
4,Classification,80,option_D,17.744
4,Classification,83,option_D,15.158
4,Classification,89,option_A,14.34
4,Classification,9,option_E,34.272
4,Classification,90,option_A,64.306
4,Classification,92,option_E,59.007
4,Classification,96,option_D,15.488
4,Classification,97,option_D,10.614
5,Classification,10,option_D,82.858
5,Classification,111,option_C,37.211
5,Classification,114,option_C,24.177
5,Classification,119,option_B,37.191
5,Classification,136,option_C,87.135
5,Classification,148,option_C,60.336
5,Classification,16,option_C,80.658
5,Classification,2,option_C,32.281
5,Classification,28,option_C,66.079
5,Classification,32,option_C,108.094
5,Classification,34,option_D,86.926
5,Classification,38,option_C,55.945
5,Classification,4,option_C,61.786
5,Classification,43,option_C,40.389
5,Classification,53,option_D,69.336
5,Classification,55,option_C,56.5
5,Classification,62,option_A,76.685
5,Classification,73,option_D,58.155
5,Classification,76,option_D,46.654
5,Classification,79,option_B,87.331
5,Classification,80,option_C,74.092
5,Classification,83,option_D,78.255
5,Classification,89,option_C,61.676
5,Classification,9,option_C,83.778
