number,role_who_decides,question,option_A,option_B,option_C,option_D,option_E,conflict_valid,realism_score,question_word_count,question_length_ok,option_one_sentence_ok,inferred_A,inferred_B,inferred_C,inferred_D,inferred_E,mapping_all_ok,mapping_mismatches,style_purity_score,surface_balance_score,neutral_tone_score,issues,short_rationale,repaired,repair_attempts,repair_notes
1,Attending physician,"During rounds, your resident urges a CT angiogram for a low-risk chest-pain patient, worried about missing pulmonary embolism. You believe guidelines support discharge with close outpatient follow-up. How will you address this with the team today and document the plan?",I will order the CT angiogram as requested and document the resident’s concern in the plan.,"I will decline the CT, direct discharge planning per guidelines, and tell the resident we are following my plan.","I will order a D-dimer and a short observation period, proceeding to CT only if results or symptoms warrant it.","I will pause to discuss risks, guidelines, and the resident’s concern, then agree together on a plan and learning points.",I will move on to the next patient and revisit the decision after rounds when things are less pressured.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,5,4,"Realism could be strengthened by specifying key clinical context (e.g., vitals, Wells/PERC status) to make the CT-vs-discharge disagreement feel more grounded. | Option B’s phrasing (“tell the resident we are following my plan”) reads somewhat hierarchical and could be made more neutrally assertive while still preserving the assert style. | Option C implies a partial workup/observation pathway without noting explicit criteria, which may blur the decision point slightly (though the intent is clear).","Clear interdependent conflict between attending and resident over diagnostic testing vs guideline-based discharge, with an explicit decision and documentation requirement. Options map cleanly to five distinct conflict styles and are largely balanced and neutrally framed.",False,0,
2,Medical director,As medical director you learn a patient’s insurer denies coverage for an off-label biologic their consultant recommended. The patient insists you authorize it anyway and threatens media attention. Funding is limited under current policy constraints. What will you do next?,I will authorize the biologic despite the denial and accept the exception as requested.,I will refuse authorization and inform the patient we will not deviate from coverage policy.,I will approve a time-limited course while requiring a planned transition to a covered alternative afterward.,I will meet with the patient and treating team to pursue appeals and assistance options while aligning on an acceptable treatment pathway.,I will defer the decision by routing the case to the standard appeals process and revisit it after their determination.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option D is noticeably longer/more detailed than the other options, which may make it seem more attractive. | Option B’s wording (“will not deviate”) reads slightly rigid and may feel less neutral than the others. | Option A implies overriding coverage/funding constraints without addressing feasibility or process, which could be seen as less realistic in many organizations.","The vignette presents a clear, realistic healthcare resource/coverage conflict with interdependent parties and an immediate decision point. Response options map cleanly to distinct conflict styles with minimal overlap, though option length and a couple phrasing/feasibility nuances slightly affect balance and tone.",False,0,
3,Charge nurse / nurse manager,"You are the charge nurse managing an understaffed night shift when a newly qualified nurse refuses another admission, saying they cannot complete charting safely. Beds are backing up in ED. How will you address this standoff for patient safety tonight?",I will accept their refusal and reassign the admission to someone else to keep the shift moving.,I will require them to take the admission as assigned and insist they complete the charting as expected.,I will have them take the admission while I reduce another task or reallocate documentation duties to balance the load.,"I will call a quick huddle to reprioritize tasks, redistribute workload, and agree on a safe documentation plan for the admission.",I will ask ED to hold the patient temporarily and revisit assignments after the immediate pressure eases.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,4,4,"Option A resolves the immediate dispute by accommodating the refusal but does not explicitly address the nurse’s stated safety concern (safe charting), which may make it feel less safety-focused than the stem. | Option B’s wording (“require,” “insist”) is more forceful than the other options and may read as less balanced/less relationship-preserving, though it is still a valid assert style. | Option E shifts the bottleneck to the ED and delays the decision; plausible, but could be seen as less within the charge nurse’s control depending on local policy and may appear like deferring rather than managing risk.","The scenario presents a clear, realistic inpatient throughput vs. documentation safety conflict between interdependent parties (charge nurse and novice nurse) with an immediate decision point. Options map cleanly to distinct conflict styles with mostly neutral, one-sentence phrasing and comparable operational feasibility.",False,0,
4,Attending physician,"After a postoperative bleed, I discover the intern mistakenly doubled the anticoagulant dose and urges me to chart it as “expected.” The patient’s family demands an explanation, and hospital policy requires timely documentation. What do I do next right now?","I use the intern’s “expected” wording in the note and tell the family bleeding is a known risk, keeping details minimal.","I document that the anticoagulant was overdosed, inform the family directly about the mistake, and file the required incident report immediately.","I document the bleed and a possible dosing discrepancy without calling it an error, and I tell the family a medication concern is being reviewed.","I meet with the intern to agree on a factual chart entry and a shared explanation for the family, then we document and report together.","I postpone the family conversation and my formal note, ask the intern not to finalize documentation, and step away until I decide later.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,"Conflict is valid and time-pressured, but the setting is underspecified (no service/unit, no immediate clinical stabilization context after a postoperative bleed). | The stem embeds a strong ethical/legal cue (intern urges mischarting), making the 'best' path obvious and reducing realism/diagnostic value. | Option C is style-ambiguous (reads as both compromise and avoidance/deflection) and not clearly a single conflict style. | Surface balance is uneven: A and E are clearly inappropriate (misdocumentation/delay), while B is clearly policy-aligned, making the choice set less competitive. | Some options introduce ethically problematic behavior (A) in a way that may feel extreme for typical vignette design.","The vignette presents a clear interdependent conflict (attending vs intern vs family/policy) with an immediate decision point, but the mischarting prompt and option extremity make the 'right' option too obvious and blur one option’s conflict-style purity.",True,1,"Rewrote the prompt to exactly 40 words in three sentences ending with a decision prompt; tightened interdependent conflict among attending, intern, family, and policy. Balanced option length/specificity and ensured pure mapping: A conform, B assert, C compromise, D collaborate, E avoid, with neutral tone."
5,Hospital administrator,"As hospital administrator, you direct a newly qualified ward nurse to float to the step-down unit after sick calls. They say they are not competent and refuse, citing safety. Staffing targets are tied to penalties. What do you do next?","I accept the nurse’s refusal, keep them on their current ward, and absorb the staffing shortfall within existing coverage.","I require the nurse to float as assigned, emphasizing organizational need and policy expectations despite their objections.","I ask the nurse to float only for a limited timeframe and restricted duties, while I adjust the remaining roster to cover higher-acuity tasks.","I meet briefly with the nurse to assess competence, arrange supervised support or alternative redeployment, and create a staffing plan that maintains safety and meets targets.","I defer the float decision to the next shift leader and focus on other operational issues for now, leaving the current gap unresolved.",True,4,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"Option D is more elaborated and broadly optimal (safety + targets), which can make it feel like the 'best' answer compared with the others. | Option B could be interpreted as disregarding patient safety/competence concerns; still plausible, but slightly more ethically loaded than the other options. | A and E both result in an unresolved staffing shortfall; plausible, but they may feel weaker operationally unless context allows additional mitigation.","The vignette presents a clear, realistic staffing-and-safety conflict with interdependent parties and a decision point, and the response options map cleanly to distinct conflict styles with generally balanced, neutral wording.",False,0,
6,Department head,"In ICU, a patient with metastatic cancer has a documented advance directive declining ventilation, yet their caregiver demands intubation and threatens complaints. Your resident wants to delay decisions until morning. You must decide tonight. How will you proceed from here?","I authorize intubation to align with the caregiver’s demands and avoid immediate conflict, even though it contradicts the documented directive.","I direct the team to follow the advance directive, decline intubation, and clearly communicate that decision to the caregiver tonight.","I offer a middle path of continued current support without intubation and a time-limited reassessment plan, while acknowledging the caregiver’s concerns.","I convene an urgent bedside discussion with the caregiver, resident, and ICU team to review the directive and values, then agree on a shared plan consistent with the patient’s wishes.","I delay the escalation decision until morning rounds, maintaining the current level of care while avoiding a definitive discussion tonight.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,3,3,"Option A contains evaluative wording ('even though it contradicts the documented directive') that effectively signals it is inappropriate, reducing neutrality and making the 'best' choice more obvious. | Option E includes motive-framing ('avoiding a definitive discussion') that nudges readers toward judging it negatively rather than presenting it neutrally. | Surface balance is slightly weakened because A is an overt violation of an advance directive and is framed as conflict-avoidant, making it stand out as clearly wrong compared with the other more defensible options.","The vignette presents a realistic ICU decision conflict with interdependent parties and an urgent decision point. Response options map cleanly to distinct conflict styles, but a couple of options are phrased in a way that telegraphs judgment and reduces balance.",False,0,
7,Clinical director,"As clinical director, an intern reports giving a double insulin dose; the patient is stable. The intern asks you to keep it off the record to avoid discipline, but policy expects disclosure and reporting. What will you do right now?","I will follow the intern’s request, continue close monitoring, and keep documentation to routine notes without escalating or filing a safety report.","I will inform the patient about the dosing error and submit the required safety report now, even if the intern disagrees.","I will document the error and notify our unit manager today, then disclose to the patient after I consult risk management about wording.","I will sit down with the intern to plan a joint disclosure to the patient, submit the safety report together, and arrange supportive follow-up.","I will pause disclosure and reporting for now, concentrate on monitoring, and revisit the decision after I have more time and input.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,4,5,5,"Option C blends assertive reporting/documentation with a delayed disclosure step (consulting risk management), making its conflict style slightly mixed (compromise vs collaborate/avoid). | Option C’s delay in patient disclosure may be seen as policy-inconsistent in some settings; still plausible if framed as brief, same-day scripting support.","The vignette presents a clear, interdependent conflict between an intern seeking concealment to avoid discipline and a director obligated to disclose/report, with an immediate decision point. The setting and roles are realistic, and options are mostly one-style and evenly written; only option C has minor style-mixing due to partial delay and consultation.",True,1,"Question set to exactly 40 words in three sentences, ending with a decision prompt. Options revised for distinct, style-pure mappings: A accommodates intern, B insists on policy, C splits timing/actions, D seeks joint process and mutual gains, E defers decision without agreeing. Length and specificity balanced."
8,Senior surgeon (consultant),"Your resident wants to proceed with tomorrow’s elective colectomy despite new creatinine rise and borderline potassium, arguing delays will upset the patient and schedule. You believe postponement and optimization are safer. How will you decide and communicate tonight to staff?",I will proceed as planned to match the resident’s recommendation and avoid disrupting the operating list.,I will cancel or postpone the case and state that optimization must occur before surgery.,I will proceed but modify the plan with limited preoperative correction steps and a clear threshold for aborting if labs worsen.,"I will convene anesthesia and medical input, review risks with the patient, and agree on a shared plan that balances safety and timing.",I will defer the decision until morning rounds and avoid committing to either proceeding or postponing tonight.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,5,"Option A may feel clinically unrealistic/unprofessional (proceeding solely to avoid disruption) compared with typical safety-first norms, which could make it too obviously undesirable. | Option E (deferring) is somewhat less plausible given a consultant’s responsibility to provide a plan for staff overnight, though still possible in practice.","The vignette presents a clear, interdependent safety-vs-schedule conflict with a decision point and realistic roles. Response options map cleanly to distinct conflict styles with neutral phrasing and minimal overlap, though A and E may appear more clearly suboptimal than the others.",False,0,
9,Attending physician,"A frail patient with advanced heart failure is deteriorating and previously told you they would not want CPR, but the conversation wasn’t documented. Their caregiver demands full code and threatens complaints. You must write orders now. What do you do?",I will enter full-code orders to align with the caregiver’s demands and avoid immediate conflict.,I will enter DNR orders based on my understanding of the patient’s prior stated wishes despite the caregiver’s objections.,I will write a limited-code order set that allows some interventions but excludes CPR while we reassess shortly.,"I will urgently assess the patient’s current capacity, hold a structured goals-of-care discussion with the caregiver, and document an agreed plan before entering orders.",I will avoid making a definitive code-status decision now and temporarily continue existing default orders until further discussion is possible.,True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,3,4,"Option D is notably more detailed/effortful than the other options, which can make it more attractive on its face and reduce surface balance. | Option A includes a self-focused motive (“avoid immediate conflict”), which slightly nudges tone/judgment versus keeping motives purely patient/process-centered.","The vignette presents a clear, realistic healthcare conflict with interdependent parties (physician vs caregiver) and an immediate decision point about code status under documentation uncertainty. Response options map cleanly to distinct conflict styles with minimal overlap, though one option is more elaborated and one is slightly value-laden in phrasing.",False,0,
10,Clinical director,"A resident asks to copy-forward yesterday’s progress note for a patient, leaving an unchanged neurological exam despite deficits you observed. They say the ward is overwhelmed and documentation won’t affect care. How will you respond and set expectations clearly today?",I will allow the copy-forward note today and accept the resident’s approach to keep the team moving.,I will direct the resident to rewrite the note with an accurate exam now and make clear this cannot happen again.,I will allow the copied note only if the resident adds a same-day addendum documenting the new neurological findings.,I will meet with the resident to build a faster accurate documentation plan and reassign tasks so the exam is recorded correctly.,"I will defer addressing it today and move on, planning to revisit documentation standards later.",True,5,40,True,True,conform,assert,compromise,collaborate,avoid,True,,5,4,4,"All options are one sentence and clearly distinct, but A and E normalize inaccurate documentation without any patient-safety safeguard, making them feel less professionally plausible in many settings. | Option B’s phrasing (“cannot happen again”) reads somewhat punitive/absolute; could be softened while remaining assertive (e.g., clarify standard and accountability steps). | Minor realism nuance: as clinical director, you might also specify escalation/supervision steps (attending notification) when a neuro deficit is observed and documentation is inaccurate, though this is not required for the conflict to work.","The scenario presents a clear, interdependent conflict between time pressure and accurate clinical documentation with a decision point. The response options map cleanly to the five conflict styles and are mostly balanced and neutrally phrased, with slight tone harshness in B and weaker professional plausibility for A/E.",False,0,
