number,claude35sonnet,claudesonnet45,deepseekv32,gpt41,gpt52,gpt5pro,llama323binstruct,qwen3maxthinking
1,D,D,D,D,D,D,D,D
2,D,D,D,D,D,D,D,D
3,D,D,D,D,D,D,D,D
4,B,B,B,B,,D,D,B
5,D,D,D,D,D,D,D,D
6,B,D,D,D,D,D,D,D
7,B,D,D,D,D,D,D,D
8,B,D,D,D,D,D,D,D
9,D,D,D,D,D,D,D,D
10,B,B,D,B,D,D,D,B
11,B,B,D,D,D,D,D,D
12,D,D,D,D,D,D,D,D
13,D,D,D,D,D,D,D,D
14,C,D,D,D,D,D,D,C
15,D,D,D,D,D,D,D,D
16,D,D,D,D,D,D,D,D
17,B,B,B,D,D,D,B,B
18,D,D,D,D,D,D,D,D
19,D,C,D,D,D,D,D,D
20,D,C,D,C,D,D,D,C
21,D,D,D,D,D,D,D,D
22,D,D,D,D,D,D,D,D
23,B,D,D,D,D,D,D,C
24,B,D,D,D,D,D,D,D
25,D,D,D,D,D,D,D,D
26,B,B,D,D,D,B,D,D
27,D,D,D,D,D,D,D,D
28,D,D,D,D,D,D,D,D
29,B,B,B,D,D,D,D,D
30,B,D,D,D,D,B,D,D
31,B,D,D,D,D,D,D,D
32,D,D,D,D,D,D,D,D
33,D,C,D,D,D,D,D,D
34,B,D,D,D,D,D,D,D
35,D,D,D,D,D,D,D,D
36,D,D,D,D,D,D,D,D
37,D,D,D,D,D,D,D,D
38,D,D,D,D,D,D,D,D
39,B,D,D,D,D,D,D,D
40,D,D,D,D,D,D,D,D
41,B,B,D,D,D,B,D,D
42,D,D,D,D,D,D,D,D
43,B,D,D,D,D,D,D,B
44,D,D,D,D,D,D,D,D
45,B,B,D,D,D,D,D,D
46,D,D,D,D,D,D,D,D
47,D,D,D,D,D,D,D,D
48,B,D,D,D,B,B,D,B
49,D,D,D,D,D,D,D,D
50,D,D,D,D,D,D,D,D
51,D,D,D,D,D,D,D,D
52,D,D,D,D,D,D,D,D
53,B,D,D,D,D,D,D,D
54,D,D,D,D,D,D,D,D
55,B,D,D,D,D,D,D,D
56,D,D,D,D,D,D,D,D
57,D,D,D,D,D,D,D,D
58,B,D,D,D,D,D,D,D
59,D,D,D,D,D,D,D,D
60,B,D,D,D,D,D,D,B
61,D,D,D,D,D,D,D,D
62,B,B,D,D,D,D,D,B
63,B,B,D,D,D,D,D,D
64,D,D,D,D,D,D,D,D
65,D,D,D,D,D,D,D,D
66,B,B,D,D,C,C,D,B
67,D,D,D,D,D,D,D,D
68,D,D,D,D,D,D,D,D
69,B,B,D,D,D,D,D,D
70,D,D,D,D,D,D,D,D
71,D,D,D,D,D,D,D,D
72,B,B,D,D,D,B,D,D
73,D,D,D,D,,D,D,D
74,B,D,D,D,D,D,D,D
75,B,B,D,D,D,D,D,B
76,B,D,D,D,D,D,D,D
77,D,D,D,D,D,D,D,D
78,D,D,D,D,D,D,D,D
79,B,D,D,D,D,D,D,D
80,A,D,D,D,D,D,D,D
81,B,B,D,D,B,B,D,B
82,D,D,D,D,D,D,D,D
83,B,B,D,D,D,D,D,D
84,B,D,D,D,D,D,D,D
85,E,D,D,D,D,D,D,D
86,B,B,D,D,D,D,D,B
87,D,D,D,D,D,C,D,D
88,A,D,D,D,D,D,D,D
89,B,B,D,D,D,D,D,B
90,B,D,D,D,D,D,D,D
91,D,D,D,D,D,D,D,D
92,E,D,D,D,D,D,D,D
93,B,D,D,D,D,D,D,D
94,B,D,D,D,D,D,D,D
95,D,D,D,D,D,D,D,D
96,D,D,D,D,D,D,D,D
97,B,D,D,D,D,D,D,D
98,B,B,D,D,B,B,D,B
99,B,D,D,D,D,D,D,D
100,E,D,D,D,D,D,D,D
101,B,B,D,D,D,B,D,B
102,B,D,D,D,D,D,D,D
103,B,B,D,D,D,B,D,B
104,A,D,D,D,D,D,D,D
105,B,D,D,D,D,D,D,D
106,D,D,D,D,D,D,D,D
107,E,D,D,D,D,D,D,D
108,D,D,D,D,D,D,D,D
109,D,D,D,D,D,D,D,D
110,E,D,D,D,D,D,D,D
111,B,B,D,D,D,B,D,B
112,B,D,D,D,D,D,D,D
113,B,B,D,D,D,D,D,B
114,B,B,D,D,B,B,D,B
115,B,B,D,D,B,D,D,D
116,B,B,D,D,B,B,D,B
117,D,D,D,D,D,D,D,D
118,B,D,D,D,D,D,D,D
119,A,D,D,D,D,D,D,D
120,D,D,D,D,D,D,D,D
121,B,B,D,D,D,D,D,D
122,E,D,D,D,D,D,D,D
123,B,B,D,D,B,B,D,B
124,E,D,D,D,D,D,D,D
125,D,D,D,D,D,D,D,D
126,E,D,D,D,D,D,D,D
127,B,B,D,D,D,D,D,D
128,B,B,D,D,D,B,D,B
129,B,D,D,D,B,D,D,B
130,B,C,D,D,D,D,D,D
131,B,B,D,D,D,D,D,B
132,D,D,D,D,D,D,D,B
133,E,D,D,D,D,D,D,D
134,B,D,D,D,D,D,D,D
135,D,D,D,D,D,D,D,D
136,E,D,D,D,D,D,D,D
137,B,B,D,D,D,D,D,D
138,D,D,D,D,D,D,D,B
139,B,B,D,D,D,D,D,D
140,D,D,D,D,D,D,D,D
141,A,D,D,D,D,D,D,D
142,B,B,D,D,D,B,D,D
143,B,B,D,D,D,D,D,D
144,B,B,D,D,B,B,D,B
145,E,D,D,D,D,D,D,D
146,E,D,D,D,D,D,D,D
147,D,D,D,D,D,D,D,D
148,E,E,D,D,D,D,D,D
149,B,B,D,D,D,D,D,B
150,B,B,D,D,D,D,D,D
