number,claude35sonnet,claudesonnet45,deepseekv32,gpt41,gpt52,gpt5pro,llama323binstruct,qwen3maxthinking
1,D,D,D,D,D,D,D,D
2,D,D,D,D,D,D,D,D
3,D,D,D,D,D,D,D,D
4,B,B,B,B,B,B,B,B
5,D,D,D,D,D,D,D,D
6,D,D,D,D,D,D,D,D
7,D,D,D,D,D,D,B,B
8,D,D,D,D,D,D,D,D
9,D,D,D,B,D,D,D,D
10,D,B,B,B,D,D,B,B
11,D,B,D,D,D,D,D,D
12,D,D,D,D,D,D,B,D
13,D,D,D,D,D,D,D,D
14,D,D,C,C,D,D,C,D
15,D,D,D,D,D,D,D,D
16,D,D,D,D,D,D,D,D
17,D,B,B,B,B,B,B,D
18,D,D,D,D,D,D,D,D
19,C,C,D,D,D,D,D,D
20,D,C,C,C,D,D,D,D
21,D,D,D,D,D,D,C,D
22,D,D,D,C,D,D,D,C
23,D,D,D,D,D,D,D,D
24,D,D,D,D,D,D,B,D
25,D,D,D,D,D,D,D,D
26,D,D,D,B,B,B,B,D
27,D,D,D,D,D,D,D,D
28,D,D,D,D,D,D,D,D
29,D,D,D,D,D,D,D,D
30,D,D,D,B,B,B,D,D
31,D,D,D,D,D,D,D,D
32,D,D,D,D,D,D,D,C
33,D,D,D,C,D,D,D,D
34,D,D,D,D,D,D,D,D
35,D,D,D,D,D,D,D,D
36,D,D,D,D,D,D,D,D
37,D,D,D,D,D,D,D,D
38,D,D,D,D,D,D,D,D
39,D,D,D,D,D,D,D,D
40,D,D,D,D,D,D,C,D
41,D,B,D,B,D,B,D,D
42,A,A,C,D,D,D,B,D
43,D,D,D,B,D,D,B,B
44,D,D,D,D,D,D,A,D
45,D,B,D,D,D,D,D,C
46,D,D,D,D,D,D,D,D
47,D,D,D,D,D,D,D,D
48,B,B,D,B,B,B,D,B
49,D,D,D,D,D,D,D,D
50,D,D,D,D,D,D,D,D
51,D,D,D,D,D,D,C,D
52,D,D,D,D,D,D,D,D
53,D,D,D,D,D,D,D,D
54,D,D,D,D,D,D,D,D
55,D,D,D,D,D,D,D,D
56,D,D,D,D,D,D,D,D
57,D,D,D,D,D,D,D,D
58,D,D,D,D,D,D,D,D
59,D,D,D,D,D,D,D,D
60,D,D,D,B,D,D,D,D
61,C,D,D,C,D,D,D,D
62,D,D,B,D,D,D,D,D
63,D,D,D,D,D,D,D,D
64,D,D,D,C,C,C,D,C
65,D,D,D,D,D,D,B,D
66,B,B,B,B,C,C,B,B
67,D,D,D,D,D,D,D,D
68,D,D,D,D,D,D,D,D
69,D,D,D,D,D,D,B,D
70,D,D,D,D,D,D,D,D
71,D,D,D,D,D,D,D,D
72,D,D,B,B,D,D,B,D
73,D,D,B,B,D,B,D,B
74,D,D,D,D,D,D,D,D
75,D,D,D,D,D,D,D,D
76,D,D,D,D,D,D,D,D
77,D,D,D,D,D,D,D,D
78,D,D,D,D,D,D,D,D
79,D,D,D,D,D,D,D,D
80,D,D,D,D,D,D,D,D
81,B,B,D,D,D,B,B,B
82,D,D,D,D,D,D,D,D
83,D,D,D,D,D,D,D,D
84,D,D,D,D,D,D,D,D
85,D,D,D,D,D,D,B,D
86,D,D,B,B,D,D,D,B
87,D,D,C,C,C,C,C,D
88,D,D,D,C,D,D,D,D
89,D,B,E,B,D,D,D,D
90,D,D,D,D,D,D,D,D
91,D,D,D,D,D,D,D,D
92,D,D,D,D,D,D,D,D
93,D,B,B,D,D,D,D,D
94,D,D,D,D,D,D,D,D
95,D,D,D,D,D,D,D,D
96,D,D,D,D,D,D,C,D
97,D,D,D,D,D,D,D,D
98,B,B,B,B,B,B,B,B
99,D,D,D,D,D,D,D,D
100,D,D,D,D,D,D,D,D
101,B,B,B,B,D,D,B,B
102,D,D,D,D,D,D,D,D
103,B,B,C,B,B,D,D,B
104,A,D,A,A,D,D,C,D
105,B,E,E,E,E,E,D,E
106,D,D,D,D,D,D,D,D
107,D,D,D,D,D,D,C,D
108,D,D,D,D,D,D,D,D
109,D,D,D,D,D,D,D,D
110,D,D,D,D,D,D,B,D
111,B,B,D,B,D,B,B,B
112,D,D,D,D,D,D,D,D
113,D,D,D,C,D,D,D,C
114,D,B,B,B,B,B,D,B
115,D,B,B,D,B,B,B,B
116,B,B,B,B,B,B,D,B
117,D,D,D,D,D,D,D,D
118,D,D,D,D,D,D,D,D
119,A,A,C,C,D,D,D,C
120,D,D,D,D,D,D,D,D
121,B,B,D,B,D,D,D,B
122,D,D,D,D,D,D,B,D
123,D,D,B,B,D,B,D,D
124,D,D,D,D,D,D,D,D
125,D,D,D,D,D,D,D,D
126,D,D,D,D,D,D,D,D
127,D,D,D,D,D,D,D,D
128,B,B,B,B,D,B,B,B
129,D,D,D,D,D,D,D,D
130,D,D,D,D,D,D,D,C
131,B,D,B,B,D,D,D,D
132,D,D,D,D,D,D,B,D
133,D,D,D,D,D,D,C,D
134,D,D,D,D,D,D,B,D
135,D,D,D,D,D,D,D,D
136,D,D,D,D,D,D,D,D
137,D,D,D,D,D,D,D,D
138,D,D,D,D,D,D,B,D
139,D,B,D,D,D,D,D,D
140,D,D,D,D,D,D,D,D
141,A,D,A,A,D,D,C,A
142,D,D,D,D,B,D,C,D
143,B,B,B,B,D,D,C,B
144,D,D,D,D,D,D,D,D
145,D,D,D,D,D,D,D,D
146,D,E,D,D,D,D,D,D
147,D,D,D,D,D,D,D,D
148,D,D,D,D,D,D,D,D
149,D,D,D,D,D,D,B,D
150,B,B,B,D,D,D,D,B
